Dataset,Topological_Decision_Tree_Accuracy,Topological_Decision_Tree_Precision,Topological_Decision_Tree_Recall,Topological_Decision_Tree_Balanced_Accuracy,Topological_Decision_Tree_F1_Score,Topological_Decision_Tree_AUC_ROC,Decision_Tree_Accuracy,Decision_Tree_Precision,Decision_Tree_Recall,Decision_Tree_Balanced_Accuracy,Decision_Tree_F1_Score,Decision_Tree_AUC_ROC
CHEMBL3887063,0.6875,0.5238095238095238,0.2682926829268293,0.5766750770955986,0.3548387096774194,0.5766750770955985,0.71875,0.5714285714285714,0.4878048780487805,0.657695542472666,0.5263157894736842,0.6576955424726662
CHEMBL3705647,0.8137254901960784,0.8333333333333334,0.6976744186046512,0.797989751675207,0.759493670886076,0.797989751675207,0.7352941176470589,0.6481481481481481,0.813953488372093,0.7459597950335042,0.7216494845360825,0.7459597950335042
CHEMBL3888966,0.797979797979798,0.75,0.5625,0.7364738805970149,0.6428571428571429,0.7364738805970149,0.7272727272727273,0.5581395348837209,0.75,0.7332089552238805,0.64,0.7332089552238806
CHEMBL3888190,0.7678571428571429,0.8,0.6792452830188679,0.7633514550687559,0.7346938775510204,0.7633514550687559,0.7946428571428571,0.7419354838709677,0.8679245283018868,0.7983690438119604,0.8,0.7983690438119604
CHEMBL3706373,0.684931506849315,0.725,0.453125,0.6594893292682926,0.5576923076923077,0.6594893292682927,0.7397260273972602,0.7096774193548387,0.6875,0.7339939024390244,0.6984126984126984,0.7339939024390244
CHEMBL3880337,0.6666666666666666,0.75,0.38181818181818183,0.6394385026737968,0.5060240963855421,0.6394385026737969,0.7560975609756098,0.8048780487804879,0.6,0.7411764705882353,0.6875,0.7411764705882353
CHEMBL3889139,0.6833333333333333,0.7692307692307693,0.38461538461538464,0.6481900452488688,0.5128205128205128,0.6481900452488688,0.6833333333333333,0.6842105263157895,0.5,0.6617647058823529,0.5777777777777777,0.6617647058823529
CHEMBL3705282,0.6666666666666666,0.6818181818181818,0.5172413793103449,0.6556795131845842,0.5882352941176471,0.6556795131845843,0.7936507936507936,0.7857142857142857,0.7586206896551724,0.7910750507099391,0.7719298245614035,0.7910750507099391
CHEMBL1267248,0.6268656716417911,0.875,0.22580645161290322,0.5990143369175627,0.358974358974359,0.5990143369175627,0.6268656716417911,0.6153846153846154,0.5161290322580645,0.6191756272401434,0.5614035087719298,0.6191756272401434
CHEMBL3887061,0.5753424657534246,0.6521739130434783,0.39473684210526316,0.5830827067669173,0.4918032786885246,0.5830827067669173,0.6986301369863014,0.7,0.7368421052631579,0.6969924812030075,0.717948717948718,0.6969924812030075
CHEMBL3705899,0.6339869281045751,0.6470588235294118,0.5789473684210527,0.6336295283663704,0.6111111111111112,0.6336295283663704,0.7124183006535948,0.7051282051282052,0.7236842105263158,0.7124914559125086,0.7142857142857143,0.7124914559125086
CHEMBL3705655,0.627906976744186,0.5,0.1875,0.5381944444444444,0.2727272727272727,0.5381944444444444,0.5581395348837209,0.42105263157894735,0.5,0.5462962962962963,0.45714285714285713,0.5462962962962963
CHEMBL3887887,0.7282608695652174,0.6538461538461539,0.5151515151515151,0.6813045711350796,0.576271186440678,0.6813045711350796,0.6847826086956522,0.55,0.6666666666666666,0.6807909604519774,0.6027397260273972,0.6807909604519773
CHEMBL3888194,0.7109375,0.6571428571428571,0.4791666666666667,0.6645833333333333,0.5542168674698795,0.6645833333333333,0.671875,0.5625,0.5625,0.65,0.5625,0.65
CHEMBL3888977,0.6666666666666666,0.6818181818181818,0.5,0.6527777777777778,0.5769230769230769,0.6527777777777779,0.7424242424242424,0.76,0.6333333333333333,0.7333333333333334,0.6909090909090909,0.7333333333333334
CHEMBL3888087,0.6973684210526315,0.72,0.5294117647058824,0.6813725490196079,0.6101694915254238,0.6813725490196078,0.75,0.6829268292682927,0.8235294117647058,0.7570028011204482,0.7466666666666667,0.7570028011204482
CHEMBL3706310,0.684931506849315,0.7083333333333334,0.5151515151515151,0.6700757575757575,0.5964912280701754,0.6700757575757575,0.6712328767123288,0.6451612903225806,0.6060606060606061,0.665530303030303,0.625,0.665530303030303
CHEMBL3887759,0.6666666666666666,0.7333333333333333,0.3793103448275862,0.635601118359739,0.5,0.6356011183597391,0.6212121212121212,0.6,0.41379310344827586,0.5987884436160298,0.4897959183673469,0.5987884436160298
CHEMBL3880340,0.7435897435897436,0.72,0.6923076923076923,0.7384615384615385,0.7058823529411765,0.7384615384615385,0.7435897435897436,0.72,0.6923076923076923,0.7384615384615385,0.7058823529411765,0.7384615384615385
CHEMBL3705960,0.625,0.6060606060606061,0.46511627906976744,0.6099166301009215,0.5263157894736842,0.6099166301009216,0.6458333333333334,0.6285714285714286,0.5116279069767442,0.6331724440544099,0.5641025641025641,0.6331724440544099
